"id","name","os","status","account","dept","division","owner","storage","cpu","memory"
"3171","webhost004.serverfarm.cornell.edu","Linux","Active","L023105","LAW-INSTRUCTION & OTHER","","prw1","76","1 physical, 1 logical","1873 (2048)"
"3172","sf-sas-app-106","Windows","Active","G123008","SAS IT Enterprise","","ssh6","409","1 Physical, 2 Logical","4095 (4096)"
"3173","sf-sas-skoda01.serverfarm.cornell.edu","Linux","Gone","G124708","SAS","ADMISSIONS AND FINANCIAL AID","mm129","96","2 physical, 2 logical","1873 (2048)"
"3174","sf-lib-dig-013.serverfarm.cornell.edu","Linux","Gone","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","1328","2 physical, 2 logical","3828 (4096)"
"3175","cambridge05.serverfarm.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","116","2 physical, 2 logical","3923 (4096)"
"3176","cambridge06.serverfarm.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","136","2 physical, 2 logical","3923 (4096)"
"3177","bmw087.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","145","1 physical, 1 logical","3828 (4096)"
"3179","sf-infranode423","Windows","Active","R524870","CIT","Systems & Operations","ljc1","379","2 Physical, 2 Logical","4095 (4096)"
"3180","sf-infranode424","Windows","Active","R524870","CIT","Systems & Operations","ljc1","89","1 Physical, 1 Logical","2047 (2048)"
"3181","sf-infranode425","Windows","Active","R524870","CIT","Systems & Operations","ljc1","89","1 Physical, 1 Logical","4095 (4096)"
"3182","oxton122.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","155","2 physical, 2 logical","7868 (8192)"
"3183","sf-infranode426","Windows","Active","R524870","CIT","Systems & Operations","ljc1","89","1 Physical, 1 Logical","2047 (2048)"
"3184","sf-fs-tsrv-009","Windows","Active","G413701","Programming Services","","tdd29","499","2 Physical, 2 Logical","8191 (8192)"
"3185","sf-e2013mgmt","Windows","Gone","R524717","CIT","Support","pb10","0","Not Provided","Not Provided ()"
"3186","sf-ecm-np003","Windows","Active","R704750","CIT","Information Systems","vm57","139","2 Physical, 2 Logical","2047 (2048)"
"3187","sf-ecm-np004","Windows","Active","R704750","CIT","Information Systems","vm57","139","2 Physical, 2 Logical","2047 (2048)"
"3191","broome1-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3193","ccc1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3194","ccc1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3197","clara1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3198","clara1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3213","gs1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3214","gs1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3217","hol1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3218","hol1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3219","humph1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3220","humph1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3221","ilr-buffalo1-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3226","mcfad1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3227","mcfad1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3229","morris1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3230","morris1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3240","orleans1-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3245","rhodes1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3246","rhodes1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3247","rockland1-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3255","soho1-300c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3256","soho1a-300c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3267","uris1a-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3268","uris1b-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3273","wyoming1-60c.net.cornell.edu","Appliance","Gone"," "," "," ","ljc1","0","1","Not Provided ()"
"3274","sf-e2013mgmt","Windows","Active","R524717","CIT","Support","pb10","939","1 Physical, 4 Logical","18431 (18432)"
"3275","sf-exchmgmt","Windows","Active","R524717","CIT","Support","pb10","174","1 Physical, 1 Logical","12287 (12288)"
"3278","capri4.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","1022","2 physical, 2 logical","3828 (4096)"
"3279","sf-wintest01","Windows","Gone","R524850","CIT","Systems & Operations","ljc1","69","2 Physical, 2 Logical","4095 (4096)"
"3280","topaz20.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","534","2 physical, 2 logical","7868 (8192)"
"3281","sf-praline10","Windows","Active","R704750","CIT","Information Systems","vm57","139","2 Physical, 2 Logical","4095 (4096)"
"3282","netman09.serverfarm.cornell.edu","Linux","Active","R532512","CIT","Network & Communication Services","ljc1","67","4 physical, 4 logical","1873 (2048)"
"3283","sf-infranode520.serverfarm.cornell.edu","Linux","Gone","R524870","CIT","Systems & Operations","ljc1","52","1 physical, 1 logical","992 (1024)"
"3284","sf-infranode521.serverfarm.cornell.edu","Linux","Gone","R524870","CIT","Systems & Operations","ljc1","52","1 physical, 1 logical","992 (1024)"
"3285","sf-wintest02","Windows","Active","R524850","CIT","Systems & Operations","ljc1","59","1 Physical, 1 Logical","2047 (2048)"
"3286","sf-wintest03","Windows","Active","R524850","CIT","Systems & Operations","ljc1","59","1 Physical, 1 Logical","4095 (4096)"
"3287","sf-agpeit-006","Windows","Active","1533198","CALS","","jbb23","1103","1 Physical, 1 Logical","2047 (2048)"
"3288","oxton123.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","180","1 physical, 1 logical","3947 (4096)"
"3289","sf-xcapps-np001.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","121","1 physical, 1 logical","992 (1024)"
"3290","sf-capps-003.serverfarm.cornell.edu","Linux","Gone","R704750","CIT","Information Systems","ljc1","102","1 physical, 1 logical","992 (1024)"
"3291","sf-xcapps-001.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","121","1 physical, 1 logical","992 (1024)"
"3292","sf-sas-g-ap001","Windows","Gone","G124708","SAS","ADMISSIONS AND FINANCIAL AID","mm129","149","2 Physical, 2 Logical","4095 (4096)"
"3293","barrie20.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","119","2 physical, 2 logical","3828 (4096)"
"3294","net-print.cit.cornell.edu","Linux","Active","R513866","CIT","Systems & Operations","vm57","139","1 physical, 1 logical","3828 (4096)"
"3295","dakota01.serverfarm.cornell.edu","Linux","Active","G104700","FINANCIAL SYSTEMS","","sjc37","382","4 physical, 4 logical","15947 (16384)"
"3296","sf-wintest04","Windows","Active","R524850","CIT","Systems & Operations","ljc1","69","1 Physical, 1 Logical","4096 (4096)"
"3297","sf-wintest05","Windows","Active","R524850","CIT","Systems & Operations","ljc1","89","1 Physical, 1 Logical","2047 (2048)"
"3298","sf-infranode522.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","73","2 physical, 2 logical","1873 (2048)"
"3299","sf-crab02","Windows","Active","R704756","CIT","Applications","jrc42","109","4 Physical, 4 Logical","6143 (6144)"
"3300","sf-crab04","Windows","Active","R704756","CIT","Applications","jrc42","109","4 Physical, 4 Logical","6143 (6144)"
"3301","sf-crab03","Windows","Active","R704756","CIT","Applications","jrc42","109","4 Physical, 4 Logical","6143 (6144)"
"3302","sf-crab05","Windows","Active","R704756","CIT","Applications","jrc42","109","4 Physical, 4 Logical","6143 (6144)"
"3303","sf-manage01","Windows","Active","R704710","CIT","IT Security","se10","119","1 Physical, 3 Logical","8191 (8192)"
"3304","sf-manage02","Windows","Active","R704710","CIT","IT Security","se10","119","1 Physical, 3 Logical","8191 (8192)"
"3305","sf-obiee11g06","Windows","Active","R704752","CIT","Information Systems","ard1","259","1 Physical, 1 Logical","8191 (8192)"
"3306","sf-infranode047.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","86","2 physical, 2 logical","3923 (4096)"
"3307","webhost005.serverfarm.cornell.edu","Linux","Active","R704755","CIT","Information Systems","sml34","67","1 physical, 1 logical","1873 (2048)"
"3308","sf-oatmeal07","Windows","Active","R704750","CIT","Information Systems","vm57","574","2 Physical, 2 Logical","4095 (4096)"
"3309","sf-leeds22","Windows","Active","R704710","CIT","IT Security","se10","119","2 Physical, 2 Logical","6143 (6144)"
"3310","sf-vm-webdv-004","Windows","Active","4053748","VET COMPUTING SERVICES","","afm2","159","2 Physical, 2 Logical","10239 (10240)"
"3311","sf-xcapps-002.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","2883 (3072)"
"3312","norway09.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (262109)"
"3314","sf-sas-db-007","Windows","Active","G123008","SAS IT Enterprise","","mm129","109","2 Physical, 2 Logical","4095 (4096)"
"3315","oxton124.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","146","1 physical, 1 logical","3828 (4096)"
"3316","oxton125.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","160","1 physical, 1 logical","3828 (4096)"
"3317","sf-en-gen-004","Windows","Active","E503129","ENGINEERING OIT","","da10","149","1 Physical, 1 Logical","4095 (4096)"
"3318","sf-citdsrv-019","Windows","Active","R554702","CIT","Office of Administration","amb3","179","1 Physical, 1 Logical","4095 (4096)"
"3319","bmw088.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","156","1 physical, 1 logical","3828 (4096)"
"3320","rhodes1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3321","mcfad1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3322","clara1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3323","humph1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3324","morris1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3325","uris1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3326","hol1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","239","1 physical, 4 logical","7831 ()"
"3327","gs1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3328","ccc1-probe.serverfarm.cornell.edu","Linux","Active","R532514","CIT","Network & Communication Services","ljc1","42","1 physical, 4 logical","7831 ()"
"3329","oxton126.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","155","1 physical, 1 logical","3828 (4096)"
"3330","oxton127.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","155","2 physical, 2 logical","5848 (6144)"
"3331","sf-cranberry01","Windows","Active","1083400","CALS","Deans Fund","se57","499","1 Physical, 1 Logical","2047 (2048)"
"3332","sf-infranode427","Windows","Active","R524870","CIT","Systems & Operations","ljc1","89","1 Physical, 1 Logical","2047 (2048)"
"3333","sf-sas-g-ap002","Windows","Active","G124708","SAS","ADMISSIONS AND FINANCIAL AID","mm129","729","2 Physical, 2 Logical","8191 (8192)"
"3334","larkspur3.serverfarm.cornell.edu","Linux","Active","R532503","CIT","Systems & Operations","ljc1","106","1 physical, 12 logical","15910 ()"
"3335","larkspur4.serverfarm.cornell.edu","Linux","Active","R532503","CIT","Systems & Operations","ljc1","106","1 physical, 12 logical","15910 ()"
"3336","echinacea2.serverfarm.cornell.edu","Linux","Active","R532503","CIT","Systems & Operations","ljc1","113","1 physical, 8 logical","15910 ()"
"3337","coralbells2.serverfarm.cornell.edu","Linux","Active","R532503","CIT","Systems & Operations","ljc1","116","1 physical, 8 logical","15910 ()"
"3338","gayfeather2.serverfarm.cornell.edu","Linux","Active","R532503","CIT","Systems & Operations","ljc1","113","1 physical, 8 logical","15910 ()"
"3339","sf-york27","Windows","Active","R534713","CIT","Network & Communication Services","amp53","279","4 Physical, 4 Logical","6143 (6144)"
"3340","sf-york26","Windows","Active","R534713","CIT","Network & Communication Services","amp53","279","4 Physical, 4 Logical","6143 (6144)"
"3341","sf-infranode524.serverfarm.cornell.edu","Linux","Gone","R524870","CIT","Systems & Operations","ljc1","52","1 physical, 1 logical","992 (1024)"
"3342","sf-infranode523.serverfarm.cornell.edu","Linux","Gone","R524870","CIT","Systems & Operations","ljc1","52","1 physical, 1 logical","992 (1024)"
"3343","lib-dev-017.serverfarm.cornell.edu","Linux","Active","L683714","DIGITAL LIBRARY AND INFORM TECH","","cam2","185","2 physical, 2 logical","1873 (2048)"
"3344","lib-dev-018.serverfarm.cornell.edu","Linux","Gone","L683714","DIGITAL LIBRARY AND INFORM TECH","","cam2","116","2 physical, 2 logical","1873 (2048)"
"3345","lib-dev-019.serverfarm.cornell.edu","Linux","Active","L683720","DIGITAL LIBRARY AND INFORM TECH","","cam2","237","2 physical, 2 logical","1873 (2048)"
"3346","sf-infranode428","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","69","2 Physical, 2 Logical","4095 (4096)"
